Vendor name,Description (optional),Invoice number,Invoice date,Accounting date (optional),Due date,Currency,Line item amount,Line item description,Vendor memo (optional),Payment method (optional)
Windstream Communication,"=""161472269""",161472269-05132025,2025-05-13,,2025-05-26,USD,313.96,BUILDABEAR,,
SIP.US,"=""113436437""",113436437-05112025,2025-05-11,,2025-05-25,USD,497.24,BUILDABEAR,,
Telus,"=""2553639187""",2553639187-05102025,2025-05-10,,2025-05-25,USD,164.15,BUILDABEAR,,
AT&T 3,"=""8310001612134""",8310001612134-05082025,2025-05-08,,2025-05-31,USD,14026.45,BUILDABEAR,,
AT&T 1,"=""300451159""",300451159-05022025,2025-05-02,,2025-05-24,USD,149.8,BUILDABEAR,,
Bell Canada 1,"=""9057388827914""",9057388827914-05012025,2025-05-01,,2025-05-22,USD,420.94,BUILDABEAR,,
Bell Canada 1,"=""5196794627764""",5196794627764-05012025,2025-05-01,,2025-05-22,USD,421.33,BUILDABEAR,,
Granite Communications 2,"=""5125737""",05125737-5012025,2025-05-01,,2025-05-16,USD,9317.9,BUILDABEAR,,
Granite Communications 1,"=""8919304""",08919304-05012025,2025-05-01,,2025-05-16,USD,350.45,BUILDABEAR,,
AT&T 4,"=""9990116590034""",9990116590034-05012025,2025-05-01,,2025-05-18,USD,204.13,BUILDABEAR,,
Segra,"=""5241909""",5241909-05012025,2025-05-01,,2025-05-25,USD,472.85,BUILDABEAR,,
Spectrum Business (Charter Communications) 1,"=""219081001""",219081001-05012025,2025-05-01,,2025-05-24,USD,460.0,BUILDABEAR,,
Spectrum Business (Charter Communications) 1,"=""214006901""",214006901-05012025,2025-05-01,,2025-05-24,USD,349.0,BUILDABEAR,,
Granite Communications 1,"=""8912569""",08912569-05012025,2025-05-01,,2025-05-15,USD,3609.16,BUILDABEAR,,
AT&T 1,"=""151211285""",151211285-04282025,2025-04-28,,2025-05-19,USD,171.46,BUILDABEAR,,
SIP.US,"=""113436438""",113436438-05132025,2025-05-13,,2025-05-29,USD,1485.46,BUILDABEAR,,
