Vendor name,Description (optional),Invoice number,Invoice date,Accounting date (optional),Due date,Currency,Line item amount,Line item description,Vendor memo (optional),Payment method (optional)
AT&T 1,"=""300451159 ,151211285""","300451159-05022025, 151211285-04282025",2025-05-02,,2025-05-24,USD,321.26,BUILDABEAR,,
AT&T 3,"=""8310001612134""",8310001612134-05082025,2025-05-08,,2025-05-31,USD,14026.45,BUILDABEAR,,
AT&T 4,"=""9990116590034""",9990116590034-05012025,2025-05-01,,2025-05-18,USD,204.13,BUILDABEAR,,
Bell Canada 1,"=""9057388827914 ,5196794627764""","9057388827914-05012025, 5196794627764-05012025",2025-05-01,,2025-05-22,USD,842.27,BUILDABEAR,,
Granite Communications 1,"=""8919304 ,8912569""","08919304-05012025, 08912569-05012025",2025-05-01,,2025-05-16,USD,3959.61,BUILDABEAR,,
Granite Communications 2,"=""5125737""",05125737-5012025,2025-05-01,,2025-05-16,USD,9317.9,BUILDABEAR,,
SIP.US,"=""113436437 ,113436438""","113436437-05112025, 113436438-05132025",2025-05-13,,2025-05-29,USD,1982.7,BUILDABEAR,,
Segra,"=""5241909""",5241909-05012025,2025-05-01,,2025-05-25,USD,472.85,BUILDABEAR,,
Spectrum Business (Charter Communications) 1,"=""219081001 ,214006901""","219081001-05012025, 214006901-05012025",2025-05-01,,2025-05-24,USD,809.0,BUILDABEAR,,
Telus,"=""2553639187""",2553639187-05102025,2025-05-10,,2025-05-25,USD,164.15,BUILDABEAR,,
Windstream Communication,"=""161472269""",161472269-05132025,2025-05-13,,2025-05-26,USD,313.96,BUILDABEAR,,
